Time (ms),-100 pA,50 pA,75 pA,100 pA
123.07692307692307,-97.9736328125,-80.2978515625,-75.7598876953125,-71.0601806640625
123.1102231102231,-97.91259765625,-80.291748046875,-75.787353515625,-71.0296630859375
123.14352314352313,-97.882080078125,-80.2581787109375,-75.7049560546875,-71.0296630859375
123.17682317682316,-97.8973388671875,-80.267333984375,-75.689697265625,-71.0723876953125
123.2101232101232,-97.9248046875,-80.21240234375,-75.62255859375,-71.0662841796875
123.24342324342324,-97.9736328125,-80.2032470703125,-75.6866455078125,-71.087646484375
123.27672327672326,-97.9766845703125,-80.2520751953125,-75.701904296875,-70.9930419921875
123.3100233100233,-97.998046875,-80.224609375,-75.689697265625,-71.002197265625
123.34332334332333,-97.9644775390625,-80.2520751953125,-75.6561279296875,-70.9686279296875
123.37662337662336,-97.991943359375,-80.2032470703125,-75.653076171875,-70.9625244140625
123.4099234099234,-97.9949951171875,-80.1849365234375,-75.6256103515625,-71.0296630859375
123.44322344322343,-98.016357421875,-80.16357421875,-75.616455078125,-70.9930419921875
123.47652347652347,-98.03466796875,-80.145263671875,-75.6561279296875,-70.9991455078125
123.50982350982349,-97.955322265625,-80.218505859375,-75.6103515625,-70.953369140625
123.54312354312353,-97.91259765625,-80.1849365234375,-75.6500244140625,-70.9320068359375
123.57642357642357,-97.900390625,-80.181884765625,-75.628662109375,-70.8404541015625
123.6097236097236,-97.9400634765625,-80.194091796875,-75.5401611328125,-70.8587646484375
123.64302364302362,-97.96142578125,-80.1300048828125,-75.5126953125,-70.8251953125
123.67632367632366,-98.0377197265625,-80.1300048828125,-75.506591796875,-70.867919921875
123.7096237096237,-97.9766845703125,-80.120849609375,-75.5340576171875,-70.8526611328125
123.74292374292374,-97.94921875,-80.1971435546875,-75.5462646484375,-70.831298828125
123.77622377622376,-97.9705810546875,-80.1788330078125,-75.543212890625,-70.7550048828125
123.8095238095238,-97.967529296875,-80.1544189453125,-75.555419921875,-70.721435546875
123.84282384282383,-98.0133056640625,-80.108642578125,-75.5096435546875,-70.7794189453125
123.87612387612387,-98.0010986328125,-80.078125,-75.4669189453125,-70.782470703125
123.9094239094239,-98.01025390625,-80.126953125,-75.482177734375,-70.855712890625
123.94272394272393,-97.9278564453125,-80.17578125,-75.47607421875,-70.7763671875
123.97602397602397,-98.004150390625,-80.169677734375,-75.4547119140625,-70.7000732421875
124.00932400932399,-98.028564453125,-80.13916015625,-75.4669189453125,-70.6451416015625
124.04262404262403,-98.0987548828125,-80.0994873046875,-75.4302978515625,-70.5902099609375
124.07592407592406,-98.1109619140625,-80.047607421875,-75.4547119140625,-70.6787109375
124.1092241092241,-98.077392578125,-80.0201416015625,-75.3662109375,-70.6817626953125
124.14252414252412,-98.0438232421875,-80.0262451171875,-75.384521484375,-70.7000732421875
124.17582417582416,-98.0072021484375,-80.059814453125,-75.3936767578125,-70.6695556640625
124.2091242091242,-98.0926513671875,-80.059814453125,-75.433349609375,-70.684814453125
124.24242424242424,-98.114013671875,-80.108642578125,-75.4730224609375,-70.6207275390625
124.27572427572426,-98.1292724609375,-80.0689697265625,-75.433349609375,-70.49560546875
124.3090243090243,-98.0621337890625,-80.0018310546875,-75.37841796875,-70.5413818359375
124.34232434232433,-98.03466796875,-80.010986328125,-75.3814697265625,-70.526123046875
124.37562437562437,-98.0712890625,-80.0201416015625,-75.372314453125,-70.5047607421875
124.40892440892439,-98.052978515625,-80.096435546875,-75.3509521484375,-70.4986572265625
124.44222444222443,-98.1048583984375,-80.084228515625,-75.3021240234375,-70.4345703125
124.47552447552447,-98.162841796875,-80.1055908203125,-75.2777099609375,-70.440673828125
124.50882450882449,-98.187255859375,-80.09033203125,-75.244140625,-70.4315185546875
124.54212454212453,-98.138427734375,-80.0872802734375,-75.25634765625,-70.428466796875
124.57542457542456,-98.101806640625,-80.0140380859375,-75.2899169921875,-70.391845703125
124.6087246087246,-98.1170654296875,-79.9652099609375,-75.299072265625,-70.44677734375
124.64202464202462,-98.095703125,-79.901123046875,-75.29296875,-70.4132080078125
124.67532467532466,-98.162841796875,-79.974365234375,-75.3143310546875,-70.3857421875
124.7086247086247,-98.1170654296875,-80.035400390625,-75.35400390625,-70.3155517578125
124.74192474192473,-98.1353759765625,-80.09033203125,-75.286865234375,-70.294189453125
124.77522477522476,-98.1201171875,-80.047607421875,-75.2349853515625,-70.2789306640625
124.8085248085248,-98.114013671875,-80.0048828125,-75.1800537109375,-70.2728271484375
124.84182484182483,-98.1048583984375,-79.9713134765625,-75.1953125,-70.2972412109375
124.87512487512487,-98.0987548828125,-79.9163818359375,-75.1495361328125,-70.3216552734375
124.90842490842489,-98.10791015625,-79.9072265625,-75.18310546875,-70.3582763671875
124.94172494172493,-98.1475830078125,-79.937744140625,-75.2288818359375,-70.2789306640625
124.97502497502497,-98.1781005859375,-79.9652099609375,-75.2105712890625,-70.25146484375
125.008325008325,-98.101806640625,-79.96826171875,-75.2197265625,-70.21484375
125.04162504162503,-98.10791015625,-79.9468994140625,-75.1800537109375,-70.2545166015625
125.07492507492506,-98.0987548828125,-79.8828125,-75.1129150390625,-70.2911376953125
125.1082251082251,-98.1292724609375,-79.8919677734375,-75.13427734375,-70.281982421875
125.14152514152512,-98.1231689453125,-79.9591064453125,-75.152587890625,-70.208740234375
125.17482517482516,-98.14453125,-79.96826171875,-75.1251220703125,-70.159912109375
125.2081252081252,-98.138427734375,-79.9560546875,-75.091552734375,-70.2178955078125
125.24142524142523,-98.126220703125,-79.9041748046875,-75.06103515625,-70.2239990234375
125.27472527472526,-98.0865478515625,-79.87060546875,-75.0732421875,-70.1324462890625
125.3080253080253,-98.0499267578125,-79.8126220703125,-75.10986328125,-70.0836181640625
125.34132534132533,-98.0377197265625,-79.8553466796875,-75.128173828125,-70.098876953125
